step T[K] H[J/g] Nco2[mmol/g] Nch4[mmol/g]
stepI 355.89900127899176 77.77908661154109 2.664628259587041 0.6471980811629249
stepII 353.1222313257515 75.57735485643103 2.980486962428101 0
stepIII 291.9806039433871 27.84063654006311 1.1649315577982509 0
stepIV 263.0 6.089999306009247 0 0.3760469082061921

effective amount adsorbed of CO2 [mmol/g]: 2.664628259587041
working capacity [mmol/g]: 1.4996967017887903
selectivity [-]: 4.11717577221347
regenerability [%]: 56.28164815835175

T[K] NcI[mmol/g] NmI[mmol/g] NtI[mmol/g] NcII[mmol/g] NcIII[mmol/g] NcIV[mmol/g] NmIV[mmol/g] HI[J/g] HII[J/g] HIII[J/g] HIV[J/g] intCp[J/g]
200 14.684570593757387 0.31669998533679566 15.001270579094182 14.964900141560705 11.71425681173272 0.0 3.2425678416495214 335.07870806446056 336.70527379542824 274.0686711731685 53.76374847331246 -35.41806936820804
201 14.66471814367999 0.3247348029709829 14.989452946650973 14.952053053440212 11.65310348022221 0.0 3.128377263282438 335.1034652844714 336.6504869342069 273.1471408781511 51.881330978852546 -34.831880419213284
202 14.64448513829265 0.33284032559562593 14.977325463888276 14.938894542907079 11.590702314057943 0.0 3.016729175724127 335.12526926577345 336.59349924286676 272.19948530579023 50.02745286287912 -34.243235287502536
203 14.623865467736838 0.34101311000180673 14.964878577738645 14.925416646728822 11.527018643716518 0.0 2.9077819536158236 335.143716234188 336.53387640267255 271.22004695778446 48.215172794397944 -33.65213742631179
204 14.602852874939371 0.3492496405318712 14.952102515471243 14.911611183472502 11.462016599551339 0.0 2.801671521385219 335.1585873641982 336.4714971021267 270.2076448732671 46.44734978035665 -33.05859033798104
205 14.581440864149208 0.35754635564104476 14.938987219790253 14.897469747749888 11.395659060095095 0.0 2.6985105683461894 335.1696571223756 336.40623443362233 269.1610502295369 44.726407807262916 -32.462597581406285
206 14.559622755284614 0.36589965251173223 14.925522407796347 14.882983704357404 11.32790760525001 0.0 2.59838834916722 335.1766932448927 336.33795563993823 268.0789843658546 43.05432926063445 -31.864162779491537
207 14.53739164827785 0.3743058998347877 14.911697548112638 14.868144182313035 11.25872246717273 0.0 2.5013710289788915 335.1794566848253 336.2665218501843 266.9601167659109 41.432659037670675 -31.263289626600788
208 14.514740426216655 0.38276144883928004 14.897501875055935 14.852942068792547 11.188062480076786 0.0 2.40750250967196 335.1777015427101 336.1917878048723 265.80306298352485 39.862518158767855 -30.659981896010038
209 14.49166174825218 0.39126264552197043 14.882924393774152 14.837368002968015 11.115885029145641 0.0 2.316805658245112 335.17117502026207 336.1136015697909 264.60638252157156 38.34462536854544 -30.054243447359287
210 14.468148042296933 0.3998058434122577 14.867953885709191 14.82141236975194 11.042145998805525 0.0 2.2292838496114604 335.15961736418 336.0318042383658 263.36857667191856 36.87932504289481 -29.446078234104537
211 14.44419150386844 0.4083874151061463 14.852578918974586 14.805065293450589 10.966799720674054 0.0 2.1449227345263644 335.1427618093895 335.9462296221941 262.08808632626705 35.46661967528892 -28.835490310969785
