step T[K] H[J/g] Nco2[mmol/g] Nch4[mmol/g]
stepI 322.7246846166252 51.60993202663672 0.5315045311419077 2.283787330147267
stepII 353.1752461565068 75.48537249093258 2.977043798394703 0
stepIII 292.05620094282637 27.764915181160347 1.1618529072248476 0
stepIV 263.15 6.065203681526699 0 0.3745260088738253

effective amount adsorbed of CO2 [mmol/g]: 0.5315045311419077
working capacity [mmol/g]: -0.6303483760829399
selectivity [-]: 5.348885017966906
regenerability [%]: -118.5969900818478

T[K] NcI[mmol/g] NmI[mmol/g] NtI[mmol/g] NcII[mmol/g] NcIII[mmol/g] NcIV[mmol/g] NmIV[mmol/g] HI[J/g] HII[J/g] HIII[J/g] HIV[J/g] intCp[J/g]
200 8.7477721599381 3.9848747823754254 12.732646942313526 14.964900141560705 11.71425681173272 0.0 3.2425678416495214 286.98761447980587 336.70527379542824 274.0686711731685 53.76374847331246 -35.55203430654118
201 8.647969307205981 4.049658848718362 12.697628155924344 14.952053053440212 11.65310348022221 0.0 3.128377263282438 285.8812708177181 336.6504869342069 273.1471408781511 51.881330978852546 -34.96584535754643
202 8.548231227415235 4.113720978991946 12.66195220640718 14.938894542907079 11.590702314057943 0.0 3.016729175724127 284.7474898952892 336.59349924286676 272.19948530579023 50.02745286287912 -34.37720022583568
203 8.448582757204925 4.1770167277445065 12.625599484949431 14.925416646728822 11.527018643716518 0.0 2.9077819536158236 283.5839847206152 336.53387640267255 271.22004695778446 48.215172794397944 -33.78610236464493
204 8.349047630935624 4.239502470336635 12.58855010127226 14.911611183472502 11.462016599551339 0.0 2.801671521385219 282.3910254953667 336.4714971021267 270.2076448732671 46.44734978035665 -33.19255527631418
205 8.249648540472135 4.301135374426061 12.550783914898197 14.897469747749888 11.395659060095095 0.0 2.6985105683461894 281.1688935565008 336.40623443362233 269.1610502295369 44.726407807262916 -32.59656251973943
206 8.150407120953762 4.361873426829906 12.512280547783668 14.882983704357404 11.32790760525001 0.0 2.59838834916722 279.91787973286654 336.33795563993823 268.0789843658546 43.05432926063445 -31.99812771782468
207 8.051343953657303 4.421675446907576 12.47301940056488 14.868144182313035 11.25872246717273 0.0 2.5013710289788915 278.63828261573656 336.2665218501843 266.9601167659109 41.432659037670675 -31.39725456493393
208 7.952478572469998 4.480501096541008 12.432979669011006 14.852942068792547 11.188062480076786 0.0 2.40750250967196 277.3304068974081 336.1917878048723 265.80306298352485 39.862518158767855 -30.79394683434318
209 7.85382947020176 4.538310889949375 12.392140360151135 14.837368002968015 11.115885029145641 0.0 2.316805658245112 275.99456175656866 336.1136015697909 264.60638252157156 38.34462536854544 -30.18820838569243
210 7.755414115071526 4.595066194162856 12.350480309234381 14.82141236975194 11.042145998805525 0.0 2.2292838496114604 274.6310593417251 336.0318042383658 263.36857667191856 36.87932504289481 -29.58004317243768
211 7.657248976245804 4.650729223546075 12.30797819979188 14.805065293450589 10.966799720674054 0.0 2.1449227345263644 273.24021314233596 335.9462296221941 262.08808632626705 35.46661967528892 -28.96945524930293
212 7.559349472921502 4.705263088277395 12.264612561198897 14.788316631330684 10.889798921545705 0.0 2.0636921471352374 271.8223365742885 335.85670392944724 260.76328952801003 34.106205262432525 -28.356448779732176
213 7.461730135382117 4.758631687350524 12.220361822732642 14.771155967104036 10.81109461589375 0.0 1.985548069914152 270.37774179926134 335.76304543084893 259.39249999008354 32.79750817877719 -27.741028043341426
214 7.364404486525551 4.8107998050113014 12.175204291536852 14.753572604335096 10.730636336200693 0.0 1.910434622588982 268.90673819267846 335.6650641129453 257.9739646888962 31.53972212447181 -27.123197443370678
215 7.267385137237396 4.861733049914397 12.129118187151793 14.735555559776827 10.648371523502059 0.0 1.8382859323273888 267.40963103911133 335.56256131839916 256.50586047722015 30.331844010402282 -26.502961514135926
216 7.170683801533236 4.911397851964609 12.082081653497845 14.717093556640835 10.564246042198072 0.0 1.769027970601753 265.8867204424699 335.4553293730582 254.98629323337565 29.172708221305648 -25.880324928481176
217 7.074311315971816 4.959761455035888 12.034072771007704 14.698175017808042 10.478203859629943 0.0 1.7025802246662114 264.33830013844306 335.34315119956585 253.41329619027155 28.06101852730584 -25.255292505230425
218 6.978277683276514 5.006791891269178 11.985069574545692 14.678788058986713 10.390187066125195 0.0 1.6388572296013777 262.76465645466004 335.2257999173074 251.7848274000819 26.995377156941053 -24.627869216639674
219 6.882592096768185 5.05245796834417 11.935050065112355 14.65892048182495 10.300135846369628 0.0 1.5777699390440434 261.1660673034965 335.10303842850936 250.0987684112045 25.9743109337954 -23.998060195848925
220 6.787262973815576 5.096729249396798 11.883992223212374 14.638559766985288 10.20798845999298 0.0 1.519226937230798 259.54280122846524 334.9746189903395 248.35292346809868 24.996294494810048 -23.365870744334174
221 6.692297991671984 5.139576030491842 11.831874022163825 14.61769306718928 10.113681335787426 0.0 1.4631355166264528 257.89511654178597 334.84028277288854 246.54501786504352 24.059770438953088 -22.731306339359424
222 6.59770411459555 5.180969329573569 11.778673444169119 14.596307200240522 10.017148718140385 0.0 1.409402533209191 256.2232605430046 334.69975940295024 244.6726968179849 23.163166548330324 -22.094372641428674
223 6.5034876717879255 5.220880803401259 11.724368475189184 14.574388642034481 9.918323175614947 0.0 1.3579352215196403 254.5274687953429 334.5527664935558 242.73352709848297 22.304910577751315 -21.455075501737923
224 6.409654310881099 5.259282843282027 11.668937154163126 14.551923519564106 9.817135357866258 0.0 1.308641806748264 252.807964454199 334.39900915926444 240.7249977657509 21.48344252924293 -20.813420969627174
225 6.316209129758548 5.296148413341783 11.61235754310033 14.528897603930316 9.713514137400505 0.0 1.2614320307317302 251.06495774551536 334.23817951725806 238.64452115152517 20.69722464880851 -20.16941530003242
226 6.223156660400947 5.331451114348437 11.554607774749384 14.50529630336622 9.607386718979292 0.0 1.2162175704891116 249.29864541477258 334.0699561743395 236.48943603742723 19.944749557509553 -19.52306496093767
227 6.13050090363947 5.365165133624247 11.495666037263717 14.481104656284627 9.49867879021975 0.0 1.1729123667048549 247.50921033365807 333.8940036999896 234.25701185550727 19.224546652536723 -18.87437664082692
228 6.038245429616629 5.397265190374642 11.435510619991271 14.456307324357617 9.387314722088572 0.0 1.1314328741053004 245.69682132926252 333.70997208569787 231.94445451756135 18.535187024897258 -18.22335725613617
229 5.9463933612911966 5.427726539719126 11.374119901010323 14.430888585637407 9.273217829594982 0.0 1.09169824481507 243.86163285854386 333.5174961908428 229.548914211665 17.87528710412781 -17.570013958705417
230 5.8549474280533875 5.456524963753877 11.311472391807264 14.404832327727025 9.156310704835436 0.0 1.0536304547982447 242.0037848542277 333.3161951754649 227.06749556431092 17.243511221900242 -16.914354143230668
231 5.7639100436078206 5.483636682193222 11.247546725801042 14.378122041009174 9.036515636683196 0.0 1.0171543824595115 240.1234028318622 333.1056719203456 224.4972706349788 16.638573197826126 -16.256385454715918
